/*********************************************
 * OPL 12.4 Data
 * Author: kbarreau
 * Creation Date: 14 déc. 2015 at 12:09:29
 *********************************************/

NbLines = 6;
NbColumns = 6;
NbColors = 8;
NbOrientations = 4;

Pieces = [ 
[ 1 1 2 2 ],
[ 3 4 5 4 ],
[ 1 6 4 2 ],
[ 3 3 5 4 ],
[ 3 4 4 3 ],
[ 1 2 3 7 ],
[ 2 1 8 3 ],
[ 5 3 3 3 ],
[ 3 4 3 4 ],
[ 3 5 4 4 ],
[ 1 6 3 2 ],
[ 3 5 4 3 ],
[ 1 8 6 1 ],
[ 8 1 1 2 ],
[ 3 4 4 3 ],
[ 7 3 7 1 ],
[ 3 3 3 4 ],
[ 7 4 8 1 ],
[ 4 4 4 3 ],
[ 6 1 7 3 ],
[ 3 3 3 4 ],
[ 6 1 8 3 ],
[ 3 4 5 4 ],
[ 3 3 4 4 ],
[ 1 6 3 8 ],
[ 6 3 7 1 ],
[ 1 2 2 1 ],
[ 4 7 1 6 ],
[ 4 3 4 4 ],
[ 8 4 7 1 ],
[ 4 3 4 3 ],
[ 8 1 7 3 ],
[ 4 5 5 4 ],
[ 2 3 6 1 ],
[ 7 4 6 1 ],
[ 4 8 1 8 ] ];
